Problem:    EON_SDS009
Rows:       2629
Columns:    1480 (1480 integer, 1480 binary)
Non-zeros:  11744
Status:     INTEGER OPTIMAL
Objective:  Index = 48 (MINimum)

   No.   Row name        Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
     1 Index                      48                             
     2 FIRST_INDEX_PRIMARY1[1,1,1,1,2]
                                   0                           1 
     3 FIRST_INDEX_PRIMARY1[1,1,1,1,3]
                                   1                           1 
     4 FIRST_INDEX_PRIMARY1[1,1,1,2,1]
                                   0                           1 
     5 FIRST_INDEX_PRIMARY1[1,1,1,3,1]
                                   0                           1 
     6 FIRST_INDEX_PRIMARY1[1,1,2,3,1]
                                   0                           1 
     7 FIRST_INDEX_PRIMARY1[1,1,3,2,1]
                                   0                           1 
     8 FIRST_INDEX_PRIMARY1[1,1,3,3,2]
                                   1                           1 
     9 FIRST_INDEX_PRIMARY1[1,2,1,1,3]
                                   0                           1 
    10 FIRST_INDEX_PRIMARY1[1,2,2,1,2]
                                   0                           1 
    11 FIRST_INDEX_PRIMARY1[1,2,2,2,1]
                                   0                           1 
    12 FIRST_INDEX_PRIMARY1[1,2,3,2,2]
                                   0                           1 
    13 FIRST_INDEX_PRIMARY1[1,3,1,1,2]
                                   0                           1 
    14 FIRST_INDEX_PRIMARY1[1,3,1,2,3]
                                   0                           1 
    15 FIRST_INDEX_PRIMARY1[1,3,2,2,2]
                                   0                           1 
    16 FIRST_INDEX_PRIMARY1[1,3,3,1,3]
                                   0                           1 
    17 FIRST_INDEX_PRIMARY1[1,3,3,2,3]
                                   1                           1 
    18 FIRST_INDEX_PRIMARY1[1,3,3,3,1]
                                   0                           1 
    19 FIRST_INDEX_PRIMARY1[1,3,3,3,2]
                                   0                           1 
    20 FIRST_INDEX_PRIMARY1[2,1,1,1,2]
                                   0                           1 
    21 FIRST_INDEX_PRIMARY1[2,1,1,1,3]
                                   1                           1 
    22 FIRST_INDEX_PRIMARY1[2,1,1,2,1]
                                   0                           1 
    23 FIRST_INDEX_PRIMARY1[2,1,1,3,1]
                                   0                           1 
    24 FIRST_INDEX_PRIMARY1[2,1,2,3,1]
                                   0                           1 
    25 FIRST_INDEX_PRIMARY1[2,1,3,2,1]
                                   0                           1 
    26 FIRST_INDEX_PRIMARY1[2,1,3,3,2]
                                   1                           1 
    27 FIRST_INDEX_PRIMARY1[2,2,1,1,3]
                                   0                           1 
    28 FIRST_INDEX_PRIMARY1[2,2,2,1,2]
                                   0                           1 
    29 FIRST_INDEX_PRIMARY1[2,2,2,2,1]
                                   0                           1 
    30 FIRST_INDEX_PRIMARY1[2,2,3,2,2]
                                   0                           1 
    31 FIRST_INDEX_PRIMARY1[2,3,1,1,2]
                                   0                           1 
    32 FIRST_INDEX_PRIMARY1[2,3,1,2,3]
                                   0                           1 
    33 FIRST_INDEX_PRIMARY1[2,3,2,2,2]
                                   0                           1 
    34 FIRST_INDEX_PRIMARY1[2,3,3,1,3]
                                   0                           1 
    35 FIRST_INDEX_PRIMARY1[2,3,3,2,3]
                                   1                           1 
    36 FIRST_INDEX_PRIMARY1[2,3,3,3,1]
                                   0                           1 
    37 FIRST_INDEX_PRIMARY1[2,3,3,3,2]
                                   0                           1 
    38 FIRST_INDEX_BACKUP1[1,1,1,1,2]
                                   1                           1 
    39 FIRST_INDEX_BACKUP1[1,1,1,1,3]
                                   0                           1 
    40 FIRST_INDEX_BACKUP1[1,1,1,2,1]
                                   0                           1 
    41 FIRST_INDEX_BACKUP1[1,1,1,3,1]
                                   0                           1 
    42 FIRST_INDEX_BACKUP1[1,1,2,3,1]
                                   0                           1 
    43 FIRST_INDEX_BACKUP1[1,1,3,2,1]
                                   1                           1 
    44 FIRST_INDEX_BACKUP1[1,1,3,3,2]
                                   0                           1 
    45 FIRST_INDEX_BACKUP1[1,2,1,1,3]
                                   0                           1 
    46 FIRST_INDEX_BACKUP1[1,2,2,1,2]
                                   0                           1 
    47 FIRST_INDEX_BACKUP1[1,2,2,2,1]
                                   0                           1 
    48 FIRST_INDEX_BACKUP1[1,2,3,2,2]
                                   0                           1 
    49 FIRST_INDEX_BACKUP1[1,3,1,1,2]
                                   0                           1 
    50 FIRST_INDEX_BACKUP1[1,3,1,2,3]
                                   0                           1 
    51 FIRST_INDEX_BACKUP1[1,3,2,2,2]
                                   0                           1 
    52 FIRST_INDEX_BACKUP1[1,3,3,1,3]
                                   1                           1 
    53 FIRST_INDEX_BACKUP1[1,3,3,2,3]
                                   0                           1 
    54 FIRST_INDEX_BACKUP1[1,3,3,3,1]
                                   0                           1 
    55 FIRST_INDEX_BACKUP1[1,3,3,3,2]
                                   0                           1 
    56 FIRST_INDEX_BACKUP1[2,1,1,1,2]
                                   1                           1 
    57 FIRST_INDEX_BACKUP1[2,1,1,1,3]
                                   0                           1 
    58 FIRST_INDEX_BACKUP1[2,1,1,2,1]
                                   0                           1 
    59 FIRST_INDEX_BACKUP1[2,1,1,3,1]
                                   0                           1 
    60 FIRST_INDEX_BACKUP1[2,1,2,3,1]
                                   0                           1 
    61 FIRST_INDEX_BACKUP1[2,1,3,2,1]
                                   1                           1 
    62 FIRST_INDEX_BACKUP1[2,1,3,3,2]
                                   0                           1 
    63 FIRST_INDEX_BACKUP1[2,2,1,1,3]
                                   0                           1 
    64 FIRST_INDEX_BACKUP1[2,2,2,1,2]
                                   0                           1 
    65 FIRST_INDEX_BACKUP1[2,2,2,2,1]
                                   0                           1 
    66 FIRST_INDEX_BACKUP1[2,2,3,2,2]
                                   0                           1 
    67 FIRST_INDEX_BACKUP1[2,3,1,1,2]
                                   0                           1 
    68 FIRST_INDEX_BACKUP1[2,3,1,2,3]
                                   0                           1 
    69 FIRST_INDEX_BACKUP1[2,3,2,2,2]
                                   0                           1 
    70 FIRST_INDEX_BACKUP1[2,3,3,1,3]
                                   1                           1 
    71 FIRST_INDEX_BACKUP1[2,3,3,2,3]
                                   0                           1 
    72 FIRST_INDEX_BACKUP1[2,3,3,3,1]
                                   0                           1 
    73 FIRST_INDEX_BACKUP1[2,3,3,3,2]
                                   0                           1 
    74 FIRST_INDEX_PRIMARY2[1,0,0,1,1,1,2]
                                   0                          -0 
    75 FIRST_INDEX_PRIMARY2[1,0,0,1,1,1,3]
                                   0                          -0 
    76 FIRST_INDEX_PRIMARY2[1,0,0,1,1,2,1]
                                   0                          -0 
    77 FIRST_INDEX_PRIMARY2[1,0,0,1,1,3,1]
                                   0                          -0 
    78 FIRST_INDEX_PRIMARY2[1,0,0,1,2,3,1]
                                   0                          -0 
    79 FIRST_INDEX_PRIMARY2[1,0,0,1,3,2,1]
                                   0                          -0 
    80 FIRST_INDEX_PRIMARY2[1,0,0,1,3,3,2]
                                   0                          -0 
    81 FIRST_INDEX_PRIMARY2[1,0,0,2,1,1,3]
                                   0                          -0 
    82 FIRST_INDEX_PRIMARY2[1,0,0,2,2,1,2]
                                   0                          -0 
    83 FIRST_INDEX_PRIMARY2[1,0,0,2,2,2,1]
                                   0                          -0 
    84 FIRST_INDEX_PRIMARY2[1,0,0,2,3,2,2]
                                   0                          -0 
    85 FIRST_INDEX_PRIMARY2[1,0,0,3,1,1,2]
                                   0                          -0 
    86 FIRST_INDEX_PRIMARY2[1,0,0,3,1,2,3]
                                   0                          -0 
    87 FIRST_INDEX_PRIMARY2[1,0,0,3,2,2,2]
                                   0                          -0 
    88 FIRST_INDEX_PRIMARY2[1,0,0,3,3,1,3]
                                   0                          -0 
    89 FIRST_INDEX_PRIMARY2[1,0,0,3,3,2,3]
                                   0                          -0 
    90 FIRST_INDEX_PRIMARY2[1,0,0,3,3,3,1]
                                   0                          -0 
    91 FIRST_INDEX_PRIMARY2[1,0,0,3,3,3,2]
                                   0                          -0 
    92 FIRST_INDEX_PRIMARY2[1,0,1,1,1,1,2]
                                   0                          -0 
    93 FIRST_INDEX_PRIMARY2[1,0,1,1,1,1,3]
                                   0                          -0 
    94 FIRST_INDEX_PRIMARY2[1,0,1,1,1,2,1]
                                   0                          -0 
    95 FIRST_INDEX_PRIMARY2[1,0,1,1,1,3,1]
                                   0                          -0 
    96 FIRST_INDEX_PRIMARY2[1,0,1,1,2,3,1]
                                   0                          -0 
    97 FIRST_INDEX_PRIMARY2[1,0,1,1,3,2,1]
                                   0                          -0 
    98 FIRST_INDEX_PRIMARY2[1,0,1,1,3,3,2]
                                   0                          -0 
    99 FIRST_INDEX_PRIMARY2[1,0,1,2,1,1,3]
                                   0                          -0 
   100 FIRST_INDEX_PRIMARY2[1,0,1,2,2,1,2]
                                   0                          -0 
   101 FIRST_INDEX_PRIMARY2[1,0,1,2,2,2,1]
                                   0                          -0 
   102 FIRST_INDEX_PRIMARY2[1,0,1,2,3,2,2]
                                   0                          -0 
   103 FIRST_INDEX_PRIMARY2[1,0,1,3,1,1,2]
                                   0                          -0 
   104 FIRST_INDEX_PRIMARY2[1,0,1,3,1,2,3]
                                   0                          -0 
   105 FIRST_INDEX_PRIMARY2[1,0,1,3,2,2,2]
                                   0                          -0 
   106 FIRST_INDEX_PRIMARY2[1,0,1,3,3,1,3]
                                   0                          -0 
   107 FIRST_INDEX_PRIMARY2[1,0,1,3,3,2,3]
                                   0                          -0 
   108 FIRST_INDEX_PRIMARY2[1,0,1,3,3,3,1]
                                   0                          -0 
   109 FIRST_INDEX_PRIMARY2[1,0,1,3,3,3,2]
                                   0                          -0 
   110 FIRST_INDEX_PRIMARY2[1,0,2,1,1,1,2]
                                   0                          -0 
   111 FIRST_INDEX_PRIMARY2[1,0,2,1,1,1,3]
                                   0                          -0 
   112 FIRST_INDEX_PRIMARY2[1,0,2,1,1,2,1]
                                   0                          -0 
   113 FIRST_INDEX_PRIMARY2[1,0,2,1,1,3,1]
                                   0                          -0 
   114 FIRST_INDEX_PRIMARY2[1,0,2,1,2,3,1]
                                   0                          -0 
   115 FIRST_INDEX_PRIMARY2[1,0,2,1,3,2,1]
                                   0                          -0 
   116 FIRST_INDEX_PRIMARY2[1,0,2,1,3,3,2]
                                   0                          -0 
   117 FIRST_INDEX_PRIMARY2[1,0,2,2,1,1,3]
                                   0                          -0 
   118 FIRST_INDEX_PRIMARY2[1,0,2,2,2,1,2]
                                   0                          -0 
   119 FIRST_INDEX_PRIMARY2[1,0,2,2,2,2,1]
                                   0                          -0 
   120 FIRST_INDEX_PRIMARY2[1,0,2,2,3,2,2]
                                   0                          -0 
   121 FIRST_INDEX_PRIMARY2[1,0,2,3,1,1,2]
                                   0                          -0 
   122 FIRST_INDEX_PRIMARY2[1,0,2,3,1,2,3]
                                   0                          -0 
   123 FIRST_INDEX_PRIMARY2[1,0,2,3,2,2,2]
                                   0                          -0 
   124 FIRST_INDEX_PRIMARY2[1,0,2,3,3,1,3]
                                   0                          -0 
   125 FIRST_INDEX_PRIMARY2[1,0,2,3,3,2,3]
                                   0                          -0 
   126 FIRST_INDEX_PRIMARY2[1,0,2,3,3,3,1]
                                   0                          -0 
   127 FIRST_INDEX_PRIMARY2[1,0,2,3,3,3,2]
                                   0                          -0 
   128 FIRST_INDEX_PRIMARY2[1,0,3,1,1,1,2]
                                   0                          -0 
   129 FIRST_INDEX_PRIMARY2[1,0,3,1,1,1,3]
                                   0                          -0 
   130 FIRST_INDEX_PRIMARY2[1,0,3,1,1,2,1]
                                   0                          -0 
   131 FIRST_INDEX_PRIMARY2[1,0,3,1,1,3,1]
                                   0                          -0 
   132 FIRST_INDEX_PRIMARY2[1,0,3,1,2,3,1]
                                   0                          -0 
   133 FIRST_INDEX_PRIMARY2[1,0,3,1,3,2,1]
                                   0                          -0 
   134 FIRST_INDEX_PRIMARY2[1,0,3,1,3,3,2]
                                   0                          -0 
   135 FIRST_INDEX_PRIMARY2[1,0,3,2,1,1,3]
                                   0                          -0 
   136 FIRST_INDEX_PRIMARY2[1,0,3,2,2,1,2]
                                   0                          -0 
   137 FIRST_INDEX_PRIMARY2[1,0,3,2,2,2,1]
                                   0                          -0 
   138 FIRST_INDEX_PRIMARY2[1,0,3,2,3,2,2]
                                   0                          -0 
   139 FIRST_INDEX_PRIMARY2[1,0,3,3,1,1,2]
                                   0                          -0 
   140 FIRST_INDEX_PRIMARY2[1,0,3,3,1,2,3]
                                   0                          -0 
   141 FIRST_INDEX_PRIMARY2[1,0,3,3,2,2,2]
                                   0                          -0 
   142 FIRST_INDEX_PRIMARY2[1,0,3,3,3,1,3]
                                   0                          -0 
   143 FIRST_INDEX_PRIMARY2[1,0,3,3,3,2,3]
                                   0                          -0 
   144 FIRST_INDEX_PRIMARY2[1,0,3,3,3,3,1]
                                   0                          -0 
   145 FIRST_INDEX_PRIMARY2[1,0,3,3,3,3,2]
                                   0                          -0 
   146 FIRST_INDEX_PRIMARY2[1,0,4,1,1,1,2]
                                   0                          -0 
   147 FIRST_INDEX_PRIMARY2[1,0,4,1,1,1,3]
                                   0                          -0 
   148 FIRST_INDEX_PRIMARY2[1,0,4,1,1,2,1]
                                   0                          -0 
   149 FIRST_INDEX_PRIMARY2[1,0,4,1,1,3,1]
                                   0                          -0 
   150 FIRST_INDEX_PRIMARY2[1,0,4,1,2,3,1]
                                   0                          -0 
   151 FIRST_INDEX_PRIMARY2[1,0,4,1,3,2,1]
                                   0                          -0 
   152 FIRST_INDEX_PRIMARY2[1,0,4,1,3,3,2]
                                   0                          -0 
   153 FIRST_INDEX_PRIMARY2[1,0,4,2,1,1,3]
                                   0                          -0 
   154 FIRST_INDEX_PRIMARY2[1,0,4,2,2,1,2]
                                   0                          -0 
   155 FIRST_INDEX_PRIMARY2[1,0,4,2,2,2,1]
                                   0                          -0 
   156 FIRST_INDEX_PRIMARY2[1,0,4,2,3,2,2]
                                   0                          -0 
   157 FIRST_INDEX_PRIMARY2[1,0,4,3,1,1,2]
                                   0                          -0 
